year,nalus,ns,nss,uohs,total
1994,626,0,0,0,626
1995,775,0,0,0,775
1996,1038,3,0,0,1041
1997,1369,38,0,0,1407
1998,1628,79,0,0,1707
1999,2080,85,0,723,2888
2000,2522,1990,0,568,5080
2001,2825,3432,0,873,7130
2002,2697,3980,0,987,7664
2003,2469,4919,601,934,8923
2004,2546,5196,736,734,9212
2005,2623,5650,4402,505,13180
2006,3246,5837,4274,501,13858
2007,3374,5768,4300,458,13900
2008,3348,6268,3614,392,13622
2009,3441,6790,3374,444,14049
2010,3687,7096,3535,571,14889
2011,3712,7295,3665,758,15430
2012,4570,6630,6933,915,19048
2013,4345,6270,8178,862,19655
2014,4389,6904,7698,1062,20053
2015,3857,7330,8261,1019,20467
2016,4304,7831,7544,817,20496
2017,4351,8137,9224,638,22350
2018,4363,7344,10281,726,22714
2019,4690,7108,10547,668,23013
2020,4157,6501,10791,827,22276
2021,3560,6450,11620,1088,22718
2022,3565,6467,10614,989,21635
2023,3405,6583,10298,1270,21556
2024,3712,5870,10211,1168,20961
2025,3921,5663,10255,933,20772
2026,294,394,570,4,1262
