document_id,document_path,source,display_identifier,decision_year,exact_indegree,exact_incoming_occurrences,same_proceeding_incoming
3-84-94.txt,data/imports/parent_bucket_texts/nalus/3-84-94.txt,nalus,III. ÚS 84/94,1995,8573,9036,0
29 Cdo 2394_2013.txt,data/imports/parent_bucket_texts/ns/29 Cdo 2394_2013.txt,ns,29 Cdo 2394/2013,2013,8016,9094,0
4-73-03.txt,data/imports/parent_bucket_texts/nalus/4-73-03.txt,nalus,IV. ÚS 73/03,2004,7977,8390,0
4-449-03.txt,data/imports/parent_bucket_texts/nalus/4-449-03.txt,nalus,IV. ÚS 449/03,2004,7496,7697,0
241727.txt,data/imports/parent_bucket_texts/nss/241727.txt,nss,1 Azs 13/2006 - 39,2006,6741,7462,0
239280.txt,data/imports/parent_bucket_texts/nss/239280.txt,nss,2 Ads 58/2003 - 75,2003,5822,6095,0
619259.txt,data/imports/parent_bucket_texts/nss/619259.txt,nss,4 As 3/2008 - 78,2010,4366,4869,0
29 Cdo 2488_2013.txt,data/imports/parent_bucket_texts/ns/29 Cdo 2488_2013.txt,ns,29 Cdo 2488/2013,2013,4300,5037,0
2-279-03.txt,data/imports/parent_bucket_texts/nalus/2-279-03.txt,nalus,II. ÚS 279/03,2004,4231,4287,0
232138.txt,data/imports/parent_bucket_texts/nss/232138.txt,nss,2 Afs 24/2005 - 44,2005,4228,4502,0
St-45-16_1.txt,data/imports/parent_bucket_texts/nalus/St-45-16_1.txt,nalus,Pl. ÚS-st. 45/16,2017,4056,4844,0
29 NSCR 55_2013.txt,data/imports/parent_bucket_texts/ns/29 NSCR 55_2013.txt,ns,29 NSCR 55/2013,2013,4038,4648,0
3-989-08_1.txt,data/imports/parent_bucket_texts/nalus/3-989-08_1.txt,nalus,III. ÚS 989/08,2009,3969,4237,0
238709.txt,data/imports/parent_bucket_texts/nss/238709.txt,nss,4 As 5/2003 - 52,2004,3945,3969,0
3-732-02.txt,data/imports/parent_bucket_texts/nalus/3-732-02.txt,nalus,III. ÚS 732/02,2003,3684,3731,0
