resolved_law_id,resolved_law_name,occurrence_count,source_count
99/1963 Sb.,Občanský soudní řád,1694049,1694049
150/2002 Sb.,Zákon soudní řád správní,1405245,1405245
141/1961 Sb.,Zákon o trestním řízení soudním (trestní řád),1246216,1246216
500/2004 Sb.,Zákon správní řád,555113,555113
182/1993 Sb.,Zákon o Ústavním soudu,452700,452700
40/2009 Sb.,Zákon trestní zákoník,449763,449763
2/1993 Sb.,Usnesení předsednictva České národní rady o vyhlášení LISTINY ZÁKLADNÍCH PRÁV A SVOBOD jako součástí ústavního pořádku České republiky,408260,408260
140/1961 Sb.,Trestní zákon,319034,319034
325/1999 Sb.,"Zákon o azylu a o změně zákona č. 283/1991 Sb., o Policii České republiky, ve znění pozdějších předpisů, (zákon o azylu)",310045,310045
326/1999 Sb.,Zákon o pobytu cizinců na území České republiky a o změně některých zákonů,267498,267498
137/2006 Sb.,Zákon o veřejných zakázkách,239240,239240
280/2009 Sb.,Zákon daňový řád,237632,237632
134/2016 Sb.,Zákon o zadávání veřejných zakázek,214224,214224
1/1993 Sb.,Ústava České republiky,203958,203958
177/1996 Sb.,Vyhláška Ministerstva spravedlnosti o odměnách advokátů a náhradách advokátů za poskytování právních služeb (advokátní tarif),199762,199762
