document_id,document_path,source,display_identifier,decision_year,exact_outdegree,exact_outgoing_occurrences,same_proceeding_outgoing
769038.txt,data/imports/parent_bucket_texts/nss/769038.txt,nss,9 A 34/2025 - 432,2025,133,263,0
442341.txt,data/imports/parent_bucket_texts/nss/442341.txt,nss,50 Az 3/2018 - 181,2019,123,148,0
28 Cdo 2457_2023.txt,data/imports/parent_bucket_texts/ns/28 Cdo 2457_2023.txt,ns,28 Cdo 2457/2023,2023,122,134,0
3 Tdo 990_2018- II..txt,data/imports/parent_bucket_texts/ns/3 Tdo 990_2018- II..txt,ns,3 Tdo 990/2018- II.,2018,119,178,0
442368.txt,data/imports/parent_bucket_texts/nss/442368.txt,nss,50 Az 4/2018 - 168,2019,119,146,0
446396.txt,data/imports/parent_bucket_texts/nss/446396.txt,nss,50 Az 2/2018 - 144,2018,114,130,0
8 Tdo 340_2021.txt,data/imports/parent_bucket_texts/ns/8 Tdo 340_2021.txt,ns,8 Tdo 340/2021,2021,103,152,0
6 Tdo 360_2020.txt,data/imports/parent_bucket_texts/ns/6 Tdo 360_2020.txt,ns,6 Tdo 360/2020,2021,103,136,0
Pl-32-16_1.txt,data/imports/parent_bucket_texts/nalus/Pl-32-16_1.txt,nalus,Pl. ÚS 32/16,2017,102,116,0
439035.txt,data/imports/parent_bucket_texts/nss/439035.txt,nss,36 Az 4/2018,2019,101,111,0
3-2607-21_1.txt,data/imports/parent_bucket_texts/nalus/3-2607-21_1.txt,nalus,III. ÚS 2607/21,2022,101,104,0
30 Cdo 2797_2024.txt,data/imports/parent_bucket_texts/ns/30 Cdo 2797_2024.txt,ns,30 Cdo 2797/2024,2024,100,101,0
592353.txt,data/imports/parent_bucket_texts/nss/592353.txt,nss,50 Az 2/2020 - 82,2020,99,122,0
2022_R0003.txt,data/imports/parent_bucket_texts/uohs/2022_R0003.txt,uohs,R0003/2022,2022,96,124,1
Pl-20-21_1.txt,data/imports/parent_bucket_texts/nalus/Pl-20-21_1.txt,nalus,Pl. ÚS 20/21,2021,95,113,0
